48 Hours,COE_DJj35nIga2KiyeJPQfik1ayb4SJN,The Family: A Cult Revealed [Part 2],27
48 Hours,Xi6_vc51XokXiSlGPIFPHKcGcXrpvUk5,The Family: A Cult Revealed [Part 1],022418
48 Hours,EjqLc0CX3Op1L1hDpTMoKCrd6oDLtylP,Rodney Alcala: The Killing Game,26
48 Hours,548UZkSrwh7nwD02Ag1O5OkxB8g_KKDQ,Paradise Lost,022418
48 Hours,WZYAGxIG9d_IxaxxdoLzOuBU25_Qx6Be,Natalie Wood: Death in Dark Water,25
48 Hours,3GKHIj_z1LDX9OTXi38Au7Rz0JfEREFk,A Brother's Mission,021718
48 Hours,EE6fYoR4xSIjN0Byf_LDpnlPgMCN_QOg,Sins of the Father,24
48 Hours,RVBNDun9KfIidTJNF1gty3iW8vQ5FmvV,"All-American Murder: A ""48 Hours"" Special",021018
48 Hours,ZB9bw5TrIJZNKxfnoGqqfLtDxTq_uPoo,Murder in the Mansion,23
48 Hours,4JUKlA7yNggn0Xg46EGMZQBmvdgJjZNU,Grapes of Wrath,020318
48 Hours,bHkeKp_dKf_dB_ew045_Suuk6zY6ONVY,"""48 Hours"" Presents: Bad Boy",22
48 Hours,ifbl7_UGKo2Kkfft2X4y1HiW947F7g7N,Murder by Design,020318
48 Hours,rfsVgs6mBYXkHi4GuN9_D5xB_NmaW_MO,Secrets of Waco,21
48 Hours,_Ncm1zitjQWwVch_boVIzX0ScckXUzpP,The Evidence Room,012718
48 Hours,_7XNJO_5ZslfwP0xQFu8QxfiRAO_NXOI,The DNA of a Killer,20
48 Hours,5wemw96_K_FHDrFOtSOtcElAMCRLb7__,Guilty Until Proven Innocent,012018
48 Hours,VA2hyEP_RjMwPbqKT8yxrKN1kY_kZ830,The Psychiatrist & the Selfie,19
48 Hours,peSR5PUSvhc42G_ZaBq6L2vcRUv4TSi5,A Brother's Mission,012018
48 Hours,BkNqh8ESSlbkfmDCSx9taDwEjyDB3mdp,Taken Away,18
48 Hours,ECC4_92GBNg1oEBVcNeBZJby7E9jIprk,Murder on the Cape,010618
48 Hours,RTS2y09uegP8vrHP_M3Wr8Yi1ZnhW_NH,Reality Kills,17
48 Hours,s912uD_MkHt4MAsBYb1rkttTt0nemIuB,Storm of Suspicion,123017
48 Hours,4EGEavWp_fmQefriEGZ7i_2rAl1SxQrF,Red Notice for Murder,16
48 Hours,39_R7bxvncCoi_aIeZnz99GnrzXBAC3Q,"Love, Hate & Obsession",123017
48 Hours,aWOcbgkozoJdVnfyvBllSkdPak_hTBBA,Operation Murder,15
48 Hours,xNenaqliiLCx8B8bqBHro9AzgMG1ao8h,Moment of Truth,122917
48 Hours,CcbhvacVNlV0FUAvMN9dz_uXwmmqaVHM,The Widow on Solway Road,14
48 Hours,vHN4U1ylnl5IwfDGxbT6k_N75m6wLQPz,O.J. Simpson: Endgame,122317
48 Hours,Mb4qIEBT6q6ZZI6kn5K4JHhw_P4Lp_bl,Who Killed Kay Wenal?,13
48 Hours,Q6n2JEqRSn5_YUI1N83e4JgeG5Jnbngy,Hunted,121617
48 Hours,KV2nF6tJaIN8sgkWACZB_cX5RmaGbjtx,Stalked: Part 2,12
48 Hours,1Hw9wLByyzwiJAG_sBODP4eTRAN9uGtu,Stalked: Part 1,120917
48 Hours,t4YL2N3i4OyerFuoBXXPD58tGbao6jhq,The Railroad Killer,11
48 Hours,YoJA7luwwN8kbuO_uwKaKfTGk0XI3yM2,Last Chance for Freedom,120217
48 Hours,UaUozVm_ZyzLg1d87LlHDkj6TzHSigp6,Eleven Hundred Miles to Murder,10
48 Hours,m7hrNi0szpEh6MjtQHqYx6VqLZm3JPPq,Death by Text,112517
48 Hours,VsWdoqy2hR0V00zf_yCLGspd1w8F7V_m,The Strange Life of Dr. Schwartz,9
48 Hours,cAYPu5DDd5bwPmRUQ_Xv1FRSWUKsImDC,Death on the Hudson,111817
48 Hours,xoKkXddcBV2BlJUZLqtHE7GAtFzVLOnG,"The Mortician, The Murder, The Movie",8
48 Hours,cIN_BZt36gzu8btJnpScbIf0hXX6DNQh,Ryan Poston Murder Part 2: Obsessed,111817
48 Hours,CcbcoRc__IemGKMwDtJX7jZj9UMgRriL,Ryan Poston Murder Part 1: Breaking Point,7
48 Hours,Ro_eRpfQlwrZVtFxIeI7nNgW5svT3HTu,The Soldier's Wife,111117
48 Hours,v8B9iaHMjImCbZUjHHN7fr_z0RS74IRE,Crime & Punishment,6
48 Hours,vFuAW_XM1_wMPg7Ed88sHxoZKG99n2zb,The Secret Life of Paige Birgfeld,102817
48 Hours,2qonYRUTWclgcmQj64dbJa4rwzU4fGXd,Serial Confessions,5
48 Hours,MtN9RkXpzz4EkCy6vowZF4km0q9vjGV5,The Accidental Husband,102117
48 Hours,Pdro8gOPS1JgZOrV5VDRZJlT6KMtv2F_,Who Killed Amy Gellert?,4
48 Hours,kWd0RETQhwhxAKc7lxHA0otD8u3strdv,Death by Text,102117
48 Hours,zg7fwiNWlnv1mVIBCf8HIWnjm1_jKvmT,"""48 Hours: NCIS:"" The Sting",3
48 Hours,EDCguSS3y2BQ5_UnCY_84VxHJh8SA6_Z,Driven to Extremes,101417
48 Hours,8ttFG7udMDvRcuocPDXGo1GAjT5wKEyQ,Shadow of Death,2
48 Hours,pNA2owJZoKVNZCKMuXBeHEPwPScrp9DL,"""48 Hours: NCIS:"" Body of Evidence",100717
48 Hours,yf7sejDAKD7ZPLhtH_GR6AqvqiTrfsiV,Killer App,1
48 Hours,QpM5BJjBVEAUFi7ydR9LusS69DPLqPJ1,Cold as Ice,093017
48 Hours,yGqcjfXB82ZZ8NDCmUE1dcZ9UPaWHJ7y,"48 Hours: NCIS: Terrorists, Spies, Hackers",73
48 Hours,m1vmqGEF7l4oY1jg82TZSMfAH4LA0l1P,"""48 Hours"" Presents: The Hit",093017
48 Hours,1XFWxTw8OVjjH2AOHypagLCOqmd47JTj,Death of an Olympian,72
48 Hours,ZV_R21JBUniDN7wbPp__z5xZiU3uXaTF,"""48 Hours: NCIS:"" One of Their Own",092317
48 Hours,Y3G_XUdCMe5dLTISgaa7PyMXYRspiTZa,Murder by Design,71
48 Hours,Yume7Cq805Uef0AdyQtCvvhrExvd0Xl9,Murder in the Mansion,091617
48 Hours,U4woOO5V7R8FVBDFA0T_zQ9fYTxlXWoC,My Name is Victoria,70
48 Hours,zDYHyAiV762cZjHAMG1ljqSm1oMDlRCy,"""48 Hours: NCIS:"" To Catch a Killer",090917
48 Hours,uSXnhdnTYJiP7Aem_IkAACI9Uw1eWNwg,Resident Evil,70
48 Hours,Y_P59rBW7OF9Uu8GufAcRNRDSxzK8vR1,The Family: A Cult Revealed [Part 2],090917
48 Hours,iV7xXT_Qaa_Db1cTq1Q94GU91S1RKAEp,The Family: A Cult Revealed,69
48 Hours,zmEYiYnJvnkrtK3SlBJsJcaTMzSLzKsP,"""48 Hours: NCIS:"" The Double Cross",090217
48 Hours,1OvONdeklF9fCycA9X17s_NluUCLzwNx,The Golden State Killer,67
48 Hours,zKE1aMrY8RnKJJuoJzHR3n4Kse1wxzaa,The DNA of a Killer,081917
48 Hours,XkSwdfo6B71RKoH5_uRbP61VIxPGIhGk,Death and the Dentist,66
48 Hours,RgknxnmsTMWgLZHJzrTY44ksasxMwLgo,The Alternate Suspects,081217
48 Hours,7h5pE_nykdjCmUWMlxSQfsOQhtSBTBmS,What Happened in Apt. 1601?,65
48 Hours,2p7lGBPtsGiV_F6KOgX8C7gaR_ZuDYzz,Death on Valentine's Day,080517
48 Hours,Ty3jzw71pJfaIV6Pc5E0_s4JoRMvoie4,Blood in the Sand,64
48 Hours,7qeMkgB5iS94zBbgBjRIE10U_AXQWkvM,Afraid of the Dark,072917
48 Hours,XtxqqfDlhKXaNu6u8K9yOCVxrhEhYhkM,Eleven Hundred Miles to Murder,63
48 Hours,I6BCSUEMVx6_0bHaHe8PlNXGg7ORmQdu,The Strange Life of Dr. Schwartz,072917
48 Hours,gvuctm35fnMGMtWMYPdcRI1dY_aPS1U5,Murder in Beverly Hills,62
48 Hours,owTBH3oVXRe7ZviQT3tTjhtJPYFtQBKv,Guilty Until Proven Innocent,072217
48 Hours,fYLPDYK_OiggCIa9qLtfzx48XztYEvRG,Who killed Kay Wenal?,61
48 Hours,VbycbkV7JgI9RlIOrvyTui2GDZj2fLf9,Devil's Island,071517
48 Hours,SfCZH142b2Ao40NrbUWPTwv9sw86lA2D,Innocence Lost,61
48 Hours,KIeI9FGjpIPF0pINwpSQzwbC81y3PVwi,Crime & Punishment,071517
48 Hours,yrW_56xS_lcOxweGU_gn8QpVTXQsvle0,Janet's Secret,60
48 Hours,zwTDwpnNundhoc8ABr6jNRwI92fRfmFg,Mommy Dearest,070817
48 Hours,chcCg6D2blW0UdS0dVGb2j0YfyVZ1h5h,Road to Redemption,59
48 Hours,d18Lf6VYb2KrjJHDSsXB3rfFrVyN7Wwv,The Birthday Party,070117
48 Hours,ssTwKkUNYjPRKPPeYw6Z_6x9sHvLksTN,The Fight for Melissa,58
48 Hours,1GvNWxwtt50hqrnjydXeL9ZSQEEvofj8,Target Justice,070117
48 Hours,EiaaEvEjyFyJMgWcz2qN_TB3U1bv4EbR,Psychiatrist & the Selfie,57
48 Hours,wtOTctgeO_6bOKJg4cySBSItFK8d6gGP,The Long Road Home,062417
48 Hours,VPDBaue3fmN4ph4Nyp9mK89VGkVePB91,48 Hours: Hunted,56
48 Hours,KiLLG7sTWb__Z6bfVB84wk7uCkFXM0dV,Sophia's Secret,062417
48 Hours,XOqMI2Kt33EDrJZHWgZSJWqRQdC7HiKS,Buried Truth,55
48 Hours,ADMuBL_nGi0xpLTDcpMGR5CxE3CCKgEm,Bad Boy,061717
48 Hours,EFNqzWfuVL2qLjPFTQez6eUJBs0lZ7Yt,Death After Midnight,54
48 Hours,pJLClHwRVFAj0xntXlZnaSG32jdQPrhx,Driven to Extremes,061617
48 Hours,3bRzB7UOEg8mqwPE6FO1Jy5MnPn9ftD8,Shadow of Death,53
48 Hours,I4KieixQcW30sp0F1opAvHpeR9vsDpuQ,Killer Performance,061317
48 Hours,ZSB0k_78_MNPXX2GdF1HA8Puvi37n1f_,"The Mortician, The Murder, The Movie",52
48 Hours,k4__C1XSi9GZQCUa_3leX62Qi4tvoks3,My Mother's Murder,061017
48 Hours,btpdDSRptPzHWybHYTGUjdNo6wNNN7Fu,Killer App,51
48 Hours,8_s6Ivym2_ERQF6qNS5Fn7uOAxH491UJ,Death and the Dentist,061017
48 Hours,P_CnM1T5b06ZVBrt9LEkg20Ss6HWXzRc,A Mother Accused,50
48 Hours,bbE6Qw859a4Qd10k1b8eI7Rwfv5DaEuR,Student of Murder,060617
48 Hours,kRV5V6T75Ot5zb9z_Fg8WtYmRL7nNdku,"""48 Hours"" Presents: Temptation in Texas",49
48 Hours,Yl1GKLQASZeQWFfIye_W8bKORNxDof5y,Hollywood Secrets,060317
48 Hours,ISXSvvODyOToKBqI4k6savqcVoLKQA1S,The Preppy Killer,48
48 Hours,2mUVRzrycEIbEZaWdjzmtJn_7We1hRRf,Eliminating the Threat?,060317
48 Hours,D_kCnxf20M5nt8NYSn4VuKCD7ncUyCWq,A Raging Son,47
48 Hours,3_1eZiIXbQCLcJYEvBnEIvqWoy_oJUdo,"The Millionaire, The Model & The Hitman",053017
48 Hours,8SE1X6Qw2Du7njQ8TF7If_X__KMt_Flr,To Catch a Genius,46
48 Hours,2Yn8DdOlltGuMQH4uLRFhG9AUjsfQxMF,The Hunter: Searching for Kelli Bordeaux,052717
48 Hours,0vAsNcQkhZBe0NVxssRgGJ0em_4Ye6Cr,Kiss of Death and the Google Exec,45
48 Hours,FDoIVGyc0tbUtiCRtkc8kozkCPnf28xG,Vengeance in Vegas,052717
48 Hours,tzshQpvez9ZwhWsQwo__EAzbgS2nAcyX,Dear Savanna,44
48 Hours,cBBtlXLuWeJyOxYW16dJmkRZnWSjVnCL,Death at Soho House,052317
48 Hours,PuXOHv79A3ZsZJIJ_lO3J6MixaJDxFoE,"""Bringing a Nation Together""",42
48 Hours,ghc2WvrUR7SEHwn_7EcJq_NKqkOmfLa_,The Bugs Bunny Defense,052017
48 Hours,UzaiYBBdQsEvNKoJEtDtQRniWC9w13HW,Power and Passion,41
48 Hours,N217BCbUsx1Kz_zhw2OV7J6dL4TcD8rM,"""48 Hours"" Live to Tell: I Remember Everything",051317
48 Hours,XeFVnuQI9bKiiyspmTv1olUgnPzJbIpN,A man wanted in the murder of his wife makes an outrageous claim: the U.S. wants to silence him for what he saw at Ground Zero,40
48 Hours,dbJGgCI1A_vUDUWMEi8wc8lxyawCsE_M,"A son fights to prove his father, a doctor, killed his mother, a noted scientist. But will his dad end up in prison?",051317
48 Hours,QsOwDa3pHoqcvInrfKUMEGSrRo_YdEO7,"Part 2: ""48 Hours"" goes inside the investigation of the death of the UVA student, the evidence that links one man to three horrific crimes, and now, his punishment",39
48 Hours,6P2XOtpNZ7DfiB2AguaLRyduAwA5Kuxc,"Part 1: ""48 Hours"" goes inside the investigation of the death of the UVA student, the evidence that links one man to three horrific crimes, and now, his punishment",051217
48 Hours,BZqTHInhFSdyfITR8XUl2BBeI_MSEGOP,Can a daughter's frantic 911 call convict or free her father from charges that he killed his wife?,38
48 Hours,_NVVXjZTpORqqzZGJYq_ZjDW_oa9O_QD,"Two convictions overturned, one hung jury and now a fourth trial comes to a close for the wealthy businessman accused of killing his estranged wife",050617
48 Hours,yP3IP58jFZu1PYgZ6B3GT3lhlw7L_FaM,A haunted highway where 18 or more girls and women have gone missing or murdered. Can a new $30 million investigation help find their killers?,37
48 Hours,K5_r5CY836I4EwSNrP7G6H5Dnj8S38F9,"All 12 living CIA directors share their passionate disagreements about the agency's past, its current mission, and its future",042917
48 Hours,rymz0lpkFIggS28cxHYcD2uhTISCmsJP,"All 12 living CIA directors share their passionate disagreements about the agency's past, its current mission, and its future.",37
48 Hours,X7wfUkLhsQgYUU830OJ9fs3iK_ROrPwW,Death of an Olympian,042917
48 Hours,JHPqDFBsKsMXWXkLr5Oln6DAAlprMC5y,The Soldier's Wife,36
48 Hours,9eIOsB8FfAby41cP8Jj4s__GdBniSeJ9,Blood in the Sand,042517
48 Hours,nShPC8rM_nWX6hxBcMa_paxLA8pBYx4Q,Ryan Poston Murder Part 2: Obsessed,35
48 Hours,7_rskEWAdal_2yKi5KVIxh_tCTGibZDy,Ryan Poston Murder Part 1: Breaking Point,042217
48 Hours,izeHUXnGKL4GK7_fYoWxJrauCT8dwSDG,The Last Confession,34
48 Hours,KqYSrpE6jNSKGsqP17BSlAeWEDH_wFx5,A Mother Accused,041517
48 Hours,VlVNT84j_lhaDrFsGUSXwrEIe7ZqG6v6,What Happened in Apt. 1601?,33
48 Hours,Wol8AYsaRgoU3LnakXQBgya1wDo_CMW5,"""48 Hours"": Gone",040817
48 Hours,0KfWPq9Dz6hlNV16jSxrXANX4M0V3VyZ,"""48 Hours"" Presents: Eliminating the Threat?",32
48 Hours,s9WoqzBt2LexcRJcUF8IGShSH83MZNem,Playing by the Rules?,032517
48 Hours,3snstYnN0c0MQfKsbvMOk4Qnm3J60pX7,Trail of Tears,31
48 Hours,jgxb6kO1u2yYVea5C_UltP_OMTI1dmBa,Sole Survivor,032517
48 Hours,JDQZ6onKM4hCE_c7iFlCh9kmeTyQq_C2,A Student of Murder,30
48 Hours,lcdwbQkM9o4vtS2VpAsFyXDyDLoMQTzC,What happens when a former hard-charging prosecutor is prosecuted for his wife's murder in his old courtroom?,031817
48 Hours,Ls8mbaEBcyUMPY5UC5KvZiOTAKDIdDzt,Target Justice,30
48 Hours,RccBAGSpToPth9_yCxs_UYGRXe_KJvPz,Murder 90210,031817
48 Hours,k61r3MFSTkPe5WYes8_Kc_adCxNEjxtW,Ryan Ferguson: Wrongfully Convicted,29
48 Hours,3lIDw2_vD3Nf5jrdzvV5jHxJuEXyBpvY,A Vision of Murder,031117
48 Hours,o_mkeIlVh_n8FHpZYHeXxYHWCIAxxL7S,"""48 Hours"" Live to Tell: My Name is Victoria",27
48 Hours,NBhlB8SxJXI_69NdQPwBZddASXtsWqv_,The Verdict,021817
48 Hours,_DcbjZbUfyXAudu9Qeq0F_nKHR4RkKlj,The Sober Truth,26
48 Hours,jSl7KmRgXl84XkbbC8aQRsdFeo1767pg,Love and Death in Alaska [Part 2],021117
48 Hours,VtyFD97zUMtWSDWi7dPQryPMhAZvlidv,Love and Death in Alaska [Part 1],25
48 Hours,HZDh_W0WQvUMchVkS2YLKnE1TKMREbSy,Murder in Aspen,021117
48 Hours,79rvngr1QQH_LgkLmfWXRfIxkjDAUqkd,The Two Faces of Todd Winkler,24
48 Hours,yHrzvUPx8tCDFRwetsT87fpY3LWDi6bX,Dear Savanna,020417
48 Hours,lXtJlP8OOTJ2L_ThrWI4BDW0M4af4yoQ,Road to Redemption,23
48 Hours,CfByK1GkJWG4zMTPEjyFGZCxRVQM7rbY,The Strange Case of Kurt Sonnenfeld,012817
48 Hours,Sc_Q0UgwdDqouHb_H67lCQ_y79ouSTYi,The Accidental Husband,22
48 Hours,u001jqEOlcZhQurQ9Rquzi_N6tH_F38A,The Bugs Bunny Defense,012117
48 Hours,gbQxdHHd0enhROR_JUvp9A3fvPLTf8Ax,The Pact,21
48 Hours,uxhCA8D7gBZrvSVyp7aiSkMI6HKpfd4N,The Hunter: Searching for Kelli Bordeaux,012117
48 Hours,nj2dvNjbDbiV0UWnFhS6LLinUdvgI70R,Vengeance in Vegas,20
48 Hours,pAA04lOxrx_vh_lGQqcog8nI7guZhsnN,Shadow of Death,010717
48 Hours,J6gm08ku3tROVSXqBoCccO2YbkM3Cy1x,The Doctor's Daughter,19
48 Hours,D2qOJyOqC7bUEG6oy4yh4tM56CRzS1Hh,Hannah Graham: Stalked by Evil [Part 2],123116
48 Hours,V3ymh73Kf_KUlHgfsIxcBPWeynHPUoLz,Hannah Graham: Deadly Connections [Part 1],18
48 Hours,NeMxVUufe6_oQSreLEoimlG9okgcPTup,A bright college student lured into the world of bondage and domination by a friend. She said no - and didn't survive the night. Was it murder?,123116
48 Hours,C7sBoXjELUe5vZR89_xJYZJNWNm5jYqp,Can new evidence prove there was no murder in the case against a woman charged with killing her fianc during a kayaking trip?,17
48 Hours,XOaXCPv_h6ZMcW_CoWQ9V2i8ugn893YV,"A young mother disappears, a double life exposed -- 8 years later, an arrest in the case",122416
48 Hours,QUF7Chmb2pc2rK1zvfoRIhn4GbT6a_YA,"Heartache, heartbreak and a ""48 Hours"" journey into the world of international adoptions",16
48 Hours,WWU432jSeiFsfBn7fTJ6nGAdD_ZVHOtt,Can a Facebook-savvy investigator solve the case of a mom murdered two decades ago?,122416
48 Hours,o50YXTcgLaotH2gvoiawoZ9IQaKM_VY6,Who wanted a one-time millionaire dead more: his ex-wife or his son?,15
48 Hours,2m4RsDscFo3orr52oAafXEZpgmB9G4XX,"A couple killed, a daughter suspected -- could a mortgage application lead to the killer?",121716
48 Hours,KyewFF0_atWWpGUiTQgMN0X3lYR__bix,Two daughters are determined to find their mother's killer. Will the investigation expose hidden secrets?,14
48 Hours,sFf7Mj1X9vHN5bdABAIrV9YOcBb6GxZv,A college student missing for 25 years -- has a Florida sheriff's office solved one of the state's biggest mysteries?,121016
48 Hours,LFon09abzm0wVpX7SxG4kUvFOVaMWL_B,Was an alleged religious cult responsible for a young bride's death?,13
48 Hours,CK5gq6QZwNZsTzD8of_emYxdZwlgchs6,"A triple murder, a young woman set afire in a wheelbarrow. Police have suspects until a courtroom twist changes everything.",120316
48 Hours,nOVBSdza1mmi7hl3DZ7WOtNISTqGOFg8,"A husband shot dead in his Costa Rican paradise, his wife's murder conviction tossed out -- who killed the Wall Street millionaire?",12
48 Hours,oVaspqqT0waK4maZ0EmIt50DcKCIHYxL,An ex-wife guns down her former husband -- did she break after being abused or was it cold-blooded murder?,112616
48 Hours,amzUPpvOLWHh3BHMFWsuQmkS_5r6EaUS,Can newly discovered evidence free a day care worker serving 31 years in prison for killing a toddler?,11
48 Hours,kqN6aOVsw_vB_aaM98GXIzl5oBQRCkNz,"Why was a colorful entrepreneur with powerful friends blown up in his car? His ex-wife speaks out to ""48 Hours""",111916
48 Hours,1uG5vnfd82P4pCSLd_W3JG_QzPu2BXaK,"Devastated after the FBI bows out of the case, the family of missing cruise ship honeymooner George Smith vows to fight for answers",10
48 Hours,MVjv28u3GJZKQMZpSkOTKUIE2yQPyuDe,How did a former beauty queen end up at the heart of a murder case?,111916
48 Hours,040NhXgGt_2rV2FIIDuU24RDLqljaDJW,An American couple looking for paradise in Panama --she ends up dead and exposes her ex-Marine boyfriend's secret life. Can a little used law find justice for her family?,9
48 Hours,ZilYndpEIdKPpqZdbawswwiLEOat9VWE,A former middle school athlete kept quiet about years of abuse by a trusted coach. Can she now get the woman to admit to her crimes?,111216
48 Hours,cl9bJ23ReVFp_GPLxxD848VXrlspi9ml,A woman withstands a brutal attack to find true love - the real story of a survivor and the hero EMT that helped save her life and more.,8
48 Hours,cJhn4AoACMYIcTeEypkKWS5_1Zqc5CTB,A lover is shot dead -- will a cell phone video recorded in the aftermath be enough to clear or convict?,102916
48 Hours,H9uocZJ_pnnfEKejQco_Sj48X6qKw6mj,"A millionaire is willing to shell out $80,000 to have someone kill his model wife. What could possibly go wrong?",7
48 Hours,G54LknD33YNvvzXE_e5SLL4Fe5aLLomQ,"A ""48 Hours"" interview with the wife of a millionaire shot dead turns the case upside down. Is there more to the story?",102216
48 Hours,TD_sgUPhteVqaPGzT4oqu9FpPJQ5z7lq,"Can new evidence uncovered in a ""48 Hours"" investigation lead to a Florida man convicted of murder walking free?",6
48 Hours,S2pz681PA7i2htzu_HxjQ2KI798DIxUR,The mysterious death of a tech executive and his last night with an exotic beauty captured on video - now a court decides her fate,101516
48 Hours,RcTzYTwlUMEHA3b_5KGM62BpHDNNQhs2,"Tried a third time for killing his wife, a wealthy businessman vows he's innocent. Will a jury finally believe him?",5
48 Hours,fU3JNCgg4XZG9gJlvAq1CRxXsb_ZqXty,She was murdered at 23. Five suspects and cops couldn't arrest anyone. It was the perfect crime for 34 years - until now,101516
48 Hours,LMi49ru0f_MxS6Hq6iC2_cm9K0X1FNhv,"A son is determined to prove his father, a doctor, killed his mother, a noted scientist. Will a jury believe him?",4
48 Hours,A1URSbyZHiwy1xN_l4Uy_81x_h34n4uY,A Florida mother claims she saw the murder of a friend in a dream. Is she clairvoyant or is she a killer?,100816
48 Hours,jpBbsf3GUaEsYjOz7844bsEuStSUVZFj,A wife says she shot her husband in self-defense. Police say she's a killer. Who's correct?,3
48 Hours,D8Q0S2pXNwGpWCUQI8ysAfBa4KVI_Xev,"A successful wife dead from nicotine poisoning. Her genius husband beat ""Jeopardy!"" -- can he beat a murder rap?",100116
